company_name,high,low,last_price,prev_close,change,percent_gain
Rail Vikas,355.70,350.05,353.95,346.30,7.65,2.21
Action Const,"1,267.90","1,243.20","1,257.80","1,230.75",27.05,2.2
Hindalco,615.50,606.35,613.50,600.30,13.20,2.2
ICICI Lombard ,"1,779.00","1,736.00","1,756.40","1,718.55",37.85,2.2
Cello World,537.05,526.00,535.20,523.75,11.45,2.19
Rainbow Child,"1,567.00","1,510.20","1,564.40","1,530.85",33.55,2.19
Bharti Hexacom,"1,607.00","1,525.00","1,537.60","1,504.75",32.85,2.18
Coromandel Int,"2,123.20","2,051.00","2,105.00","2,060.00",45.00,2.18
Exide Ind,378.40,370.60,377.35,369.30,8.05,2.18
UPL,653.70,638.85,652.75,638.85,13.90,2.18
Bajaj Holdings,"11,619.00","11,339.00","11,523.00","11,282.15",240.85,2.13
IRFC,126.80,125.00,126.75,124.11,2.64,2.13
Jindal Stainles,555.95,547.00,553.60,542.05,11.55,2.13
Godrej Agrovet,786.00,769.20,785.15,768.85,16.30,2.12
Jupiter Wagons,379.35,373.80,378.70,370.90,7.80,2.1
Mah Seamless,684.85,664.40,677.85,663.90,13.95,2.1
Tata Steel,136.68,134.84,136.22,133.42,2.80,2.1
Tata Steel,136.68,134.84,136.22,133.42,2.80,2.1
AB Capital,189.44,186.69,189.20,185.33,3.87,2.09
Angel One,"2,325.00","2,290.20","2,312.00","2,265.00",47.00,2.08
Archean Chem,615.00,601.60,613.55,601.10,12.45,2.07
APL Apollo,"1,564.90","1,512.80","1,548.60","1,517.35",31.25,2.06
Kirloskar Bros,"1,665.80","1,631.80","1,658.60","1,625.55",33.05,2.03
CRISIL,"4,307.80","4,218.10","4,300.90","4,215.85",85.05,2.02
Shyam Metalics,865.00,847.05,860.90,843.85,17.05,2.02
SBI,770.70,757.10,769.00,753.85,15.15,2.01
Tata Elxsi,"4,933.00","4,801.00","4,847.50","4,752.05",95.45,2.01
Fine Organics,"4,149.80","4,040.40","4,121.30","4,040.30",81.00,2
Kalyan Jeweller,523.95,513.50,520.90,510.75,10.15,1.99
P and G,"14,144.00","13,829.00","13,959.00","13,687.20",271.80,1.99
Torrent Pharma,"3,222.90","3,129.00","3,191.30","3,129.00",62.30,1.99
Eternal,224.25,220.10,221.50,217.20,4.30,1.98
Ajanta Pharma,"2,650.20","2,602.40","2,616.00","2,565.40",50.60,1.97
NMDC Steel,35.99,35.29,35.73,35.04,0.69,1.97
IRB Infra,46.22,45.54,45.89,45.01,0.88,1.96
IRB Infra,46.22,45.54,45.89,45.01,0.88,1.96
Oracle Fin Serv,"7,742.00","7,621.00","7,727.50","7,579.85",147.65,1.95
CenturyPlyboard,713.85,701.00,710.40,696.90,13.50,1.94
Piramal Pharma,225.89,220.75,224.10,219.83,4.27,1.94
Bajaj Finance,"9,290.00","9,075.50","9,093.00","8,921.10",171.90,1.93
Can Fin Homes,669.70,651.20,664.60,652.00,12.60,1.93
Firstsource Sol,327.40,322.75,327.25,321.05,6.20,1.93
Guj Amb Exports,118.64,115.40,118.04,115.81,2.23,1.93
Gland,"1,423.40","1,396.40","1,420.70","1,393.75",26.95,1.93
Indegene,585.95,573.95,582.30,571.30,11.00,1.93
Metro Brands,"1,111.00","1,065.00","1,082.30","1,061.85",20.45,1.93
Max Financial,"1,185.60","1,161.20","1,185.60","1,163.30",22.30,1.92
Zensar Tech,652.00,636.15,645.55,633.45,12.10,1.91
CIEINDIA,410.85,403.50,408.45,400.80,7.65,1.91
INDUS TOWERS,381.65,374.25,380.70,373.65,7.05,1.89
